认证成功，开始演示批量操作...
批量订阅 1 只股票...
批量订阅请求已发送
2025/06/12 22:26:40 [数据流转] 收到数据: 股票=SZ000815, 类型=4, 数据结构=[]interface {}
2025/06/12 22:26:40 [数据流转] 逐笔成交数据为数组格式，长度: 1500
2025/06/12 22:26:40 [数据流转] 成功解析 1500 条逐笔成交记录
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 300, 时间: 09:25:00, 成交ID: 156
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2900, 时间: 09:25:00, 成交ID: 157
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 800, 时间: 09:25:00, 成交ID: 158
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 500, 时间: 09:25:00, 成交ID: 159
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2700, 时间: 09:25:00, 成交ID: 160
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 4500, 时间: 09:25:00, 成交ID: 161
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 800, 时间: 09:25:00, 成交ID: 162
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 600, 时间: 09:25:00, 成交ID: 163
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2400, 时间: 09:25:00, 成交ID: 164
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1000, 时间: 09:25:00, 成交ID: 165
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 4000, 时间: 09:25:00, 成交ID: 166
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1500, 时间: 09:25:00, 成交ID: 167
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 3000, 时间: 09:25:00, 成交ID: 168
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 3000, 时间: 09:25:00, 成交ID: 169
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1000, 时间: 09:25:00, 成交ID: 170
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 2700, 时间: 09:25:00, 成交ID: 171
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 6200, 时间: 09:25:00, 成交ID: 172
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 6000, 时间: 09:25:00, 成交ID: 173
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 3000, 时间: 09:25:00, 成交ID: 174
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 300, 时间: 09:25:00, 成交ID: 175
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1800, 时间: 09:25:00, 成交ID: 176
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1700, 时间: 09:25:00, 成交ID: 177
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -1700, 时间: 09:25:00, 成交ID: 178
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -300, 时间: 09:25:00, 成交ID: 179
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -1300, 时间: 09:25:00, 成交ID: 180
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -600, 时间: 09:25:00, 成交ID: 181
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -300, 时间: 09:25:00, 成交ID: 182
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -500, 时间: 09:25:00, 成交ID: 183
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -100, 时间: 09:25:00, 成交ID: 184
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -100, 时间: 09:25:00, 成交ID: 185
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -100, 时间: 09:25:00, 成交ID: 186
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -1000, 时间: 09:25:00, 成交ID: 187
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -400, 时间: 09:25:00, 成交ID: 188
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -1000, 时间: 09:25:00, 成交ID: 189
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -800, 时间: 09:25:00, 成交ID: 190
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -100, 时间: 09:25:00, 成交ID: 191
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 3500, 时间: 09:25:00, 成交ID: 192
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 4400, 时间: 09:25:00, 成交ID: 193
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 8200, 时间: 09:25:00, 成交ID: 194
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 3200, 时间: 09:25:00, 成交ID: 195
